train_loss,valid_loss
1477791.905045,902915.809524
1474501.697329,904104.000000
1471993.068249,904478.857143
1457580.249258,903880.253968
1455041.709199,902182.476190
1443010.848665,899323.936508
1429855.810089,895305.269841
1421431.074184,892908.063492
1405405.341246,891640.888889
1388522.540059,888108.952381
1368748.913947,885583.619048
1344914.991098,883082.476190
1321215.335312,882025.460317
1303356.771513,874526.095238
1277096.925816,877212.317460
1257912.593472,876659.936508
1231934.385757,876461.333333
1214796.059347,879259.809524
1193562.587537,875164.190476
1173318.267062,881296.380952
1163906.563798,875680.634921
1150389.554896,875685.904762
1141898.540059,868922.793651
1130593.994065,874123.555556
1122618.682493,866403.682540
1116964.178042,868796.444444
1109783.454006,863703.809524
1106915.038576,883351.555556
1097991.786350,860865.079365
1092632.688427,872582.031746
1085808.712166,867425.714286
1089944.878338,861287.619048
1085329.471810,860281.460317
1077843.465875,857610.095238
1078111.525223,869785.714286
1074355.370920,854550.349206
1067974.362018,864691.555556
1065726.670623,867365.777778
1063355.537092,860754.857143
1062630.646884,864138.539683
1061321.780415,853981.079365
1060830.005935,868551.111111
1056081.186944,870694.857143
1052701.531157,863472.380952
1053374.575668,864118.222222
1048304.332344,858354.285714
1045199.192878,864161.079365
1045620.130564,856890.158730
1042922.160237,863284.380952
1040891.347181,860790.984127
1039586.278932,870302.857143
1040319.620178,867368.253968
1035303.596439,861659.492063
1033701.602374,865625.523810
1032182.314540,870077.650794
1028881.946588,862887.492063
1030723.988131,865101.777778
1027591.216617,869505.714286
1025167.287834,863672.634921
1024493.578635,869169.333333
1025279.620178,869831.873016
1027171.038576,871941.079365
1025768.640950,864321.142857
1019302.741840,873320.761905
1018485.839763,869267.682540
1018238.480712,871487.619048
1016446.195846,866345.777778
1015926.504451,870058.920635
1014514.801187,875449.714286
1013948.866469,873661.841270
1012730.777448,873922.476190
1011083.204748,872297.396825
1011179.774481,867920.888889
1013199.857567,874764.253968
1009874.516320,872667.174603
1008880.997033,874121.650794
1008076.724036,872814.984127
1007422.860534,876764.444444
1006580.510386,874208.571429
1007391.525223,875986.412698
1005994.919881,876523.555556
1005088.284866,879710.730159
1005025.899110,877047.936508
1003259.632047,875834.476190
1004854.124629,875966.603175
1005400.023739,875179.047619
1004582.551929,874538.222222
1006232.783383,874234.603175
1003964.771513,874444.063492
1005761.709199,878630.349206
1003432.451039,877015.111111
1002467.038576,874363.301587
1004051.370920,876869.714286
1001989.412463,874520.380952
1002880.000000,876343.555556
1002663.786350,876448.253968
1005544.166172,877422.984127
1003766.124629,875847.365079
1004263.026706,876820.507937
1004608.379822,878453.650794
